Portfolio,Beta_Return,Alpha,Total_Return,Systematic_Return,Idiosyncratic_Return,Systematic_Proportion,Idiosyncratic_Proportion,Covered_Weight,Beta_Risk,Total_Risk,Systematic_Risk,Idiosyncratic_Risk,Systematic_Risk_Proportion,Idiosyncratic_Risk_Proportion
A,0.949231703437597,-7.123337476031154e-05,0.18432591513014346,0.2514798291010904,-0.05649897024353291,1.3643216089475692,-0.30651669464731407,1.0,0.949231703437597,8.497111613394882e-05,7.523625909605908e-05,9.734857037889737e-06,0.8854333392238408,0.11456666077615912
B,0.7044688327032841,-0.0006017771555305885,0.248236754259886,0.18237811600918327,0.0606421922098469,0.7346942500635765,0.24429175442069667,1.0,0.7044688327032841,6.001003861327639e-05,4.175196019090687e-05,1.8258078422369524e-05,0.6957495971627291,0.3042504028372709
C,1.104456340563185,0.00044021669341688847,0.5002665614042215,0.29892243205133096,0.11917123657746656,0.5975263091985833,0.23821547505185886,1.0,1.104456340563185,0.00012438991495573873,0.00010811188053335089,1.627803442238783e-05,0.8691370242661554,0.13086297573384462
TOTAL PORTFOLIO,0.919385625568022,-7.759794562467052e-05,0.310943076931417,0.24426012572053485,0.041104819514593514,0.7855461138773319,0.13219403345538958,1.0,0.919385625568022,8.979035656765464e-05,7.503336660677228e-05,1.4756989960882362e-05,0.8356506141083941,0.1643493858916059
