Portfolio,Beta,Total_Risk,Systematic_Risk,Idiosyncratic_Risk,Systematic_Risk_Proportion,Idiosyncratic_Risk_Proportion
A,1.005200185916909,0.8867912005870889,0.8289727124403885,0.3149648797372741,0.8738516685435598,0.12614833145644017
B,0.9134017697931094,0.7875355825729088,0.753268008961386,0.22978163654609135,0.9148685038654594,0.08513149613454063
C,1.0344803085039505,0.8924432988030522,0.8531195669492009,0.2619962710934677,0.9138155420162299,0.08618445798377004
