Portfolio,Original_Total_Return,Original_Systematic_Return,Original_Idiosyncratic_Return,Original_Total_Risk,Original_Systematic_Risk,Original_Idiosyncratic_Risk,Original_Beta,Optimal_Total_Return,Optimal_Systematic_Return,Optimal_Idiosyncratic_Return,Optimal_Total_Risk,Optimal_Systematic_Risk,Optimal_Idiosyncratic_Risk,Optimal_Beta,Original_Sharpe,Optimal_Sharpe,Return_Improvement_Pct,Risk_Reduction_Pct,Sharpe_Improvement_Pct
A,0.18432591513014346,0.2514798291010904,-0.05649897024353291,8.497111613394882e-05,7.523625909605908e-05,9.734857037889737e-06,0.949231703437597,0.28721633722324236,0.2708917931221223,0.00313228394148354,9.767728216825208e-05,8.819117705688604e-05,9.486105111366045e-06,1.0133482850377988,19.996136295676834,29.060920903062748,55.81983521983494,-14.953511984323246,45.33268064063816
B,0.248236754259886,0.18237811600918327,0.0606421922098469,6.001003861327639e-05,4.175196019090687e-05,1.8258078422369524e-05,0.7044688327032841,0.2567900558715004,0.2672695552724459,-0.0018944745191787592,8.513405553835528e-05,7.865623081792132e-05,6.477824720433951e-06,1.0106869732144093,32.04429188440441,27.83064063558537,3.445622561862734,-41.86635687236592,-13.149459704147098
C,0.5002665614042215,0.29892243205133096,0.11917123657746656,0.00012438991495573873,0.00010811188053335089,1.627803442238783e-05,1.104456340563185,0.30879096514036825,0.27076455117791737,0.024689076763125505,9.152038053050631e-05,8.369425333072978e-05,7.826127199776529e-06,1.0187138950242212,44.85461946130625,32.27772381383547,-38.274714129681485,26.424597554334117,-28.039242777034843
