Portfolio,Beta,Total_Return,Systematic_Return,Idiosyncratic_Return,Systematic_Proportion,Idiosyncratic_Proportion,Covered_Weight
A,1.005200185916909,0.08087334617766284,0.0749123145543253,-0.014105686881782022,1.2319761417742843,-0.23197614177428436,1.0
B,0.9134017697931094,0.09401951372556759,0.06807105853328496,0.005881736687163075,0.9204663370785373,0.07953366292146274,1.0
C,1.0344803085039505,0.12839707690455096,0.07709440901089254,0.031235949388538853,0.7116602414129666,0.28833975858703337,1.0
