Portfolio,Beta,Total_Risk,Systematic_Risk,Idiosyncratic_Risk,Systematic_Risk_Proportion,Idiosyncratic_Risk_Proportion
A,0.949231703437597,8.497111613394882e-05,7.523625909605908e-05,9.734857037889737e-06,0.8854333392238408,0.11456666077615912
B,0.7044688327032841,6.001003861327639e-05,4.175196019090687e-05,1.8258078422369524e-05,0.6957495971627291,0.3042504028372709
C,1.104456340563185,0.00012438991495573873,0.00010811188053335089,1.627803442238783e-05,0.8691370242661554,0.13086297573384462
TOTAL PORTFOLIO,0.919385625568022,8.979035656765464e-05,7.503336660677228e-05,1.4756989960882362e-05,0.8356506141083941,0.1643493858916059
