Portfolio,Beta,Total_Return,Systematic_Return,Idiosyncratic_Return,Systematic_Proportion,Idiosyncratic_Proportion,Covered_Weight
A,1.0133482850377988,0.28721633722324236,0.2708917931221223,0.00313228394148354,0.9431628985351498,0.010905660770434986,1.0
B,1.0106869732144095,0.2567900558715004,0.2672695552724459,-0.0018944745191787592,1.0408095997540867,-0.007377522905819873,1.0
C,1.0187138950242214,0.30879096514036825,0.27076455117791737,0.024689076763125505,0.8768538647328459,0.07995401274743417,0.9999999999999998
