Portfolio,Beta,Total_Risk,Systematic_Risk,Idiosyncratic_Risk,Systematic_Risk_Proportion,Idiosyncratic_Risk_Proportion
A,1.0133482850377988,9.767728216825208e-05,8.819117705688604e-05,9.486105111366045e-06,0.9028831996469154,0.09711680035308456
B,1.0106869732144093,8.513405553835528e-05,7.865623081792132e-05,6.477824720433951e-06,0.9239103002967418,0.07608969970325812
C,1.0187138950242212,9.152038053050631e-05,8.369425333072978e-05,7.826127199776529e-06,0.9144876020574689,0.08551239794253108
